split,class,H,C,V,HF,HI,severity
train,正常,1.5450797080993652,0.9733420014381409,1.1354072093963623,1.4403166770935059,55.59900665283203,0
train,正常,1.5067813396453857,0.9681121110916138,1.2886704206466675,1.4061392545700073,54.32552719116211,0
train,正常,1.3281714916229248,0.9543281197547913,1.2887248992919922,0.253008097410202,41.84522247314453,0
train,正常,1.3517355918884277,0.9467792510986328,1.2896015644073486,0.14197106659412384,42.11962890625,0
train,正常,1.4157671928405762,0.9454991221427917,1.2901955842971802,0.4537532925605774,46.466835021972656,0
train,正常,1.4257947206497192,0.966681957244873,1.0888266563415527,0.7237582206726074,47.67054748535156,0
train,正常,1.3594255447387695,0.9589499831199646,1.0277233123779297,0.19468486309051514,42.00874710083008,0
train,正常,1.1769118309020996,0.9378750920295715,1.0249481201171875,0.06411387026309967,34.392173767089844,0
train,正常,1.006470799446106,0.9235164523124695,1.156850814819336,0.4221848249435425,31.631006240844727,0
train,正常,0.8459764122962952,0.8953275680541992,1.2794839143753052,0.4182622730731964,28.20305824279785,0
train,正常,0.7990010976791382,0.868884265422821,1.0650091171264648,0.20742113888263702,25.541276931762695,0
train,正常,0.8637993931770325,0.8450384736061096,1.0137388706207275,0.026397384703159332,25.5252685546875,0
train,正常,0.8961370587348938,0.8393338322639465,1.0110211372375488,0.052809689193964005,26.372838973999023,0
train,正常,1.122074842453003,0.8478789925575256,1.037868857383728,0.3114575445652008,34.094600677490234,0
train,正常,1.3199273347854614,0.902374804019928,0.8743448853492737,0.0441354475915432,39.05119323730469,0
train,正常,1.2967298030853271,0.8867505192756653,0.8692687153816223,0.21941505372524261,39.207244873046875,0
train,正常,1.3346834182739258,0.9090714454650879,0.9475529193878174,0.02542463317513466,39.7445068359375,0
train,正常,1.4174768924713135,0.9131593704223633,0.8579882383346558,0.33770865201950073,44.6385383605957,0
train,正常,1.4597995281219482,0.9193746447563171,0.7866352200508118,0.4040399193763733,46.494319915771484,0
train,正常,1.5119128227233887,0.9330244064331055,0.9137519598007202,0.2796672582626343,48.36933135986328,0
train,正常,1.6352757215499878,0.9583176970481873,1.5128560066223145,0.27139124274253845,54.928524017333984,0
train,正常,1.6576263904571533,0.9701722860336304,1.6504005193710327,0.3845076262950897,56.730464935302734,0
train,正常,1.379492163658142,0.9633144736289978,1.2443536520004272,0.11351733654737473,42.935813903808594,0
train,正常,1.5401256084442139,0.9440438747406006,1.0701841115951538,0.5183024406433105,51.30030059814453,0
train,正常,1.2067874670028687,0.933146595954895,0.9048754572868347,0.034315064549446106,34.86981964111328,0
train,正常,1.18192720413208,0.9207704663276672,0.9095391631126404,0.24805234372615814,35.31440353393555,0
train,正常,1.1450251340866089,0.9056549668312073,0.719269871711731,0.10584906488656998,32.57639694213867,0
train,正常,1.2330344915390015,0.9089246988296509,0.8919642567634583,0.22667178511619568,36.942665100097656,0
train,正常,1.19658625125885,0.8996514081954956,0.6487591862678528,0.02964283712208271,33.59425735473633,0
train,正常,1.2107189893722534,0.8733535408973694,0.9568931460380554,0.15734949707984924,35.94078063964844,0
train,正常,1.2610008716583252,0.8808482885360718,0.8465971350669861,0.22421559691429138,37.81049346923828,0
train,正常,1.296825647354126,0.8813818097114563,0.8541964292526245,0.21935608983039856,39.161376953125,0
train,正常,1.3382810354232788,0.88052898645401,0.6994847059249878,0.15515847504138947,39.85463333129883,0
train,正常,1.3788847923278809,0.9084766507148743,1.2201430797576904,0.18381129205226898,43.27410125732422,0
train,正常,1.4449440240859985,0.9195155501365662,1.6024755239486694,0.3278645873069763,47.718544006347656,0
train,正常,1.495050072669983,0.9191018342971802,0.9246069192886353,0.42054659128189087,48.4914436340332,0
train,正常,1.421183705329895,0.963272750377655,0.9580783843994141,0.16248716413974762,44.09610366821289,0
train,正常,1.5283781290054321,0.9881163835525513,0.8339084982872009,0.2884819805622101,48.83164978027344,0
train,正常,1.5033971071243286,0.9823704957962036,1.3083902597427368,0.3221227526664734,49.39260482788086,0
train,正常,1.637032389640808,0.9772596955299377,0.924794614315033,0.4879920780658722,54.58611297607422,0
train,正常,1.4787272214889526,0.9796341061592102,0.6141307353973389,0.10825023800134659,44.93807601928711,0
train,正常,1.4382150173187256,0.9745045304298401,0.5793890953063965,0.09973578155040741,43.08780288696289,0
train,正常,1.4361835718154907,0.9626737833023071,0.6401894092559814,0.16302937269210815,43.62228775024414,0
train,正常,1.4027278423309326,0.9543034434318542,0.5072721242904663,0.5562487244606018,43.91156005859375,0
train,正常,1.1898438930511475,0.9163188338279724,0.8750721216201782,0.06055997312068939,34.34566879272461,0
train,正常,1.155002236366272,0.9162213802337646,0.6258895397186279,0.02409951761364937,32.05022048950195,0
train,正常,1.1274186372756958,0.9053964018821716,0.6128793954849243,0.12738250195980072,31.741575241088867,0
train,正常,0.9887399673461914,0.8812857866287231,0.7382025718688965,0.21785306930541992,28.696937561035156,0
train,正常,1.0021982192993164,0.8815025687217712,0.6528065800666809,0.2167525738477707,28.735525131225586,0
train,正常,1.0121254920959473,0.8905327916145325,0.804777979850769,0.19094975292682648,29.39148712158203,0
train,正常,0.834159791469574,0.9067773222923279,1.689033031463623,0.09831111878156662,27.07955551147461,0
train,正常,1.1888259649276733,0.9576247930526733,1.2060843706130981,0.5037781596183777,37.83012390136719,0
train,正常,1.3582994937896729,0.9704709053039551,1.1064246892929077,0.3154684007167816,42.89223861694336,0
train,正常,1.4047272205352783,0.9744418859481812,1.4174696207046509,0.269998162984848,45.32276916503906,0
train,正常,1.4050579071044922,0.9708573818206787,1.344880223274231,0.5223298668861389,46.527610778808594,0
train,正常,1.4206222295761108,0.9707322120666504,1.1755584478378296,0.7235803604125977,47.704383850097656,0
train,正常,1.3412981033325195,0.9539654850959778,1.0255043506622314,0.35597753524780273,42.20621109008789,0
train,正常,1.3374409675598145,0.9636750817298889,1.0240398645401,0.17465755343437195,41.00750732421875,0
train,正常,1.3778423070907593,0.9614621996879578,0.9897729158401489,0.28017523884773254,43.12749481201172,0
train,正常,1.377109169960022,0.971783459186554,1.0156487226486206,0.4194949269294739,43.94832992553711,0
train,正常,1.1681495904922485,0.9458898305892944,0.848962128162384,0.4043138027191162,35.5186882019043,0
train,正常,0.9977576732635498,0.9290547370910645,0.8618794679641724,0.17820708453655243,29.11908531188965,0
train,正常,0.7878327369689941,0.9011488556861877,0.6750285625457764,0.1722358912229538,23.846332550048828,0
train,正常,0.767541766166687,0.8548297882080078,0.8046178221702576,0.21522988379001617,24.22191619873047,0
train,正常,1.2761719226837158,0.8879269361495972,0.7753450274467468,0.09277641773223877,37.34476089477539,0
train,正常,1.304748296737671,0.8951759338378906,1.058282732963562,0.17728891968727112,39.855308532714844,0
train,正常,1.3709408044815063,0.89370197057724,1.110804557800293,0.18325182795524597,42.648921966552734,0
train,正常,1.3983876705169678,0.8805198073387146,1.1581594944000244,0.1335839331150055,43.59165573120117,0
train,正常,1.422234058380127,0.9206574559211731,0.9622430801391602,0.049921076744794846,43.46065139770508,0
train,正常,1.5087313652038574,0.9599826335906982,1.2696951627731323,0.38847070932388306,49.87866973876953,0
train,正常,1.7035876512527466,0.9804036021232605,1.0366299152374268,0.5884856581687927,57.97507095336914,0
train,正常,1.6526637077331543,0.9723770618438721,0.979861855506897,0.35576125979423523,54.656734466552734,0
train,正常,1.6815383434295654,0.9751555919647217,0.9090359210968018,0.0475713312625885,53.713340759277344,0
train,正常,1.59738028049469,0.9639564156532288,0.5895882248878479,0.25590845942497253,50.566097259521484,0
train,正常,1.4526987075805664,0.9577251076698303,0.5471206903457642,0.266416072845459,44.5487174987793,0
train,正常,1.3756356239318848,0.9466127753257751,0.585360586643219,0.19498810172080994,41.1465950012207,0
train,正常,1.2433831691741943,0.9200789332389832,0.6120345592498779,0.03603460639715195,35.17233657836914,0
train,正常,1.2241203784942627,0.9136903882026672,0.6299167275428772,0.04243163764476776,34.581138610839844,0
train,正常,1.2014765739440918,0.9157624840736389,0.5290954113006592,0.1429833173751831,34.006649017333984,0
train,正常,1.1286207437515259,0.8931230306625366,0.5855141878128052,0.13562455773353577,31.726627349853516,0
train,正常,1.0112154483795166,0.8633762001991272,0.551541268825531,0.04522231966257095,27.547706604003906,0
train,正常,0.8456900119781494,0.8465881943702698,0.6791436076164246,0.03575540706515312,24.102066040039062,0
train,正常,0.8917709589004517,0.8448466062545776,0.7477740049362183,0.11095792800188065,25.775697708129883,0
train,正常,0.8411089181900024,0.8950406908988953,1.1580103635787964,0.18634213507175446,26.467586517333984,0
train,正常,1.1072635650634766,0.9368246793746948,1.051396131515503,0.0733199194073677,32.243003845214844,0
train,正常,1.3324543237686157,0.957021951675415,1.2108973264694214,0.11072856187820435,40.95875930786133,0
